scheme,serial_number,category,indian_standard,product_or_material,notification_or_qco,marking_or_conformity_route,source_title,source_url,accessed_on
Scheme II (Registration Scheme),35.,Unclassified / source table heading,IS 10322 (Part 5/Section 6): 2013,Luminaires – Part 5: Particular Requirements Section 6 Hamp Lamps | Product category: LED Hand lamps,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),36.,Unclassified / source table heading,IS 10322 (Part 5/Section 7): 2013,Luminaires – Part 5: Particular Requirements Section 7 Lighting Chains | Product category: LED Lighting Chains,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),37.,Unclassified / source table heading,IS 10322 (Part 5/Section 8): 2013,Luminaires – Part 5: Particular Requirements Section 8 Luminaires for Emergency Lighting | Product category: LED Luminaires for Emergency Lighting,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),38.,Unclassified / source table heading,IS 16242 (Part 1):2014,General and Safety Requirements for UPS | Product category: UPS/Inverters of rating ≤ 10kVA,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),39.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Plasma/ LCD/LED Television of screen size up-to 32”",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),40.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Visual Display Units, Video Monitors of screen size up-to 32”",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),41.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: CCTV Cameras/CCTV Recorders",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),42.,Unclassified / source table heading,IS 302 (Part 1): 2008,Safety of Household and similar electrical appliances Part 1 General requirements | Product category: Adapters for household and similar electrical appliances,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),43.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: USB driven Barcode readers, barcode scanners, Iris scanners, Optical fingerprint scanners",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),44.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Smart watches",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),45.,Unclassified / source table heading,IS 16103 (Part 1): 2012,LED modules for general lighting: Part 1 safety requirements | Product category: Standalone LED Modules for General Lighting,"SO 1236 (E) dated 01st April, 2020 Date of Implementation of this order on the expiry of six months from the date of publication of this notification. (01st October, 2020) Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021 Amendments to the Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021 S.O.1246 (E) Dated 10 March, 2026 |",CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),46.,Unclassified / source table heading,IS 10322 (Part 5)Section 9: 2017,Luminaries: Part 5 Particular Requirements Section 9 Rope Lights | Product category: Lighting Chain (Rope Lights),,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),47.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Keyboard",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),48.,Unclassified / source table heading,IS 302 (Part 2): Section 6: 2009,"Safety of household and similar electrical appliances: part 2 particular requirements, section 6 cooking ranges, hobs, ovens and similar appliances | Product category: Induction Stove",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),49.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Automatic Teller Cash dispensing machines",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),50.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: USB Type External Hard Disk Drive","Amendments to the Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021 S.O.2204 (E) Dated 05 May, 2026 |",CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),51.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Wireless Headphone and Earphone",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),52.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: USB Type External Solid- State Storage Devices (above 256 GB capacity)",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),53.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Electronic Musical System with input power below 200 Watts",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),54.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Standalone Switch Mode Power Supplies (SMPS)with output voltage 48 V (max)",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),55.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Television other than Plasma/ LCD/LED TVs",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),56.,Unclassified / source table heading,IS 302 (Part 2): Section 15: 2009,safety of household and similar electrical appliances: part 2 particular requirements: section 15 appliances for heating liquids | Product category: Rice Cooker,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),57.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Wireless microphone","S.O. 3429(E) dated 1 October 2020 Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021 Amendments to the Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021 S.O.1246 (E) Dated 10 March, 2026 |",CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),58.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Digital Camera",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),59.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Video Camera",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),60.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Webcam (Finished Product)",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),61.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Smart Speakers (with and without Display)",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
